title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; ALLEGRASUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ALLEGRA<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",62 FR 37267,97-18125,https://www.federalregister.gov/documents/1997/07/11/97-18125/determination-of-regulatory-review-period-for-purposes-of-patent-extension-allegrasuptmsup,https://www.govinfo.gov/content/pkg/FR-1997-07-11/pdf/97-18125.pdf,1997-07-11, ALLEGRASUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ANTISEDANRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ANTISEDAN<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",62 FR 38563,97-18911,https://www.federalregister.gov/documents/1997/07/18/97-18911/determination-of-regulatory-review-period-for-purposes-of-patent-extension-antisedanregister,https://www.govinfo.gov/content/pkg/FR-1997-07-18/pdf/97-18911.pdf,1997-07-18, ANTISEDANRegister,,,ANTISEDAN<Register>,4689339,ANTISEDAN<Register>,2663.0,1429.0,1234.0,"April 24, 1989","April 24, 1989","August 6, 1996",NADA 141-033,1718
Determination of Regulatory Review Period for Purposes of Patent Extension; GLYSETSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for GLYSET<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",62 FR 38561,97-18909,https://www.federalregister.gov/documents/1997/07/18/97-18909/determination-of-regulatory-review-period-for-purposes-of-patent-extension-glysetsuptmsup,https://www.govinfo.gov/content/pkg/FR-1997-07-18/pdf/97-18909.pdf,1997-07-18, GLYSETSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZYFLOSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ZYFLO<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",62 FR 38562,97-18910,https://www.federalregister.gov/documents/1997/07/18/97-18910/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zyflosuptmsup,https://www.govinfo.gov/content/pkg/FR-1997-07-18/pdf/97-18910.pdf,1997-07-18, ZYFLOSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; LipitorSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Lipitor<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",62 FR 38564,97-18915,https://www.federalregister.gov/documents/1997/07/18/97-18915/determination-of-regulatory-review-period-for-purposes-of-patent-extension-lipitorsuptmsup,https://www.govinfo.gov/content/pkg/FR-1997-07-18/pdf/97-18915.pdf,1997-07-18, LipitorSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ARICEPTSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ARICEPT<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",62 FR 38564,97-18916,https://www.federalregister.gov/documents/1997/07/18/97-18916/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ariceptsuptmsup,https://www.govinfo.gov/content/pkg/FR-1997-07-18/pdf/97-18916.pdf,1997-07-18, ARICEPTSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NAROPINSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for NAROPIN<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",62 FR 38565,97-18917,https://www.federalregister.gov/documents/1997/07/18/97-18917/determination-of-regulatory-review-period-for-purposes-of-patent-extension-naropinsuptmsup,https://www.govinfo.gov/content/pkg/FR-1997-07-18/pdf/97-18917.pdf,1997-07-18, NAROPINSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; MONUROLSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for MONUROL<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",62 FR 38566,97-18919,https://www.federalregister.gov/documents/1997/07/18/97-18919/determination-of-regulatory-review-period-for-purposes-of-patent-extension-monurolsuptmsup,https://www.govinfo.gov/content/pkg/FR-1997-07-18/pdf/97-18919.pdf,1997-07-18, MONUROLSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ProstaScintSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ProstaScint<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biologic product.",62 FR 39002,97-19011,https://www.federalregister.gov/documents/1997/07/21/97-19011/determination-of-regulatory-review-period-for-purposes-of-patent-extension-prostascintsuptmsup,https://www.govinfo.gov/content/pkg/FR-1997-07-21/pdf/97-19011.pdf,1997-07-21, ProstaScintSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; BAKSUPTM/SUP Interbody Fusion System,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for BAK<SUP>TM</SUP> Interbody Fusion System and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",62 FR 40829,97-19984,https://www.federalregister.gov/documents/1997/07/30/97-19984/determination-of-regulatory-review-period-for-purposes-of-patent-extension-baksuptmsup-interbody,https://www.govinfo.gov/content/pkg/FR-1997-07-30/pdf/97-19984.pdf,1997-07-30, BAKSUPTM/SUP Interbody Fusion System,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; INTEGRARegister Artificial Skin,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for INTEGRA<Register> Artificial Skin and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",62 FR 44477,97-22266,https://www.federalregister.gov/documents/1997/08/21/97-22266/determination-of-regulatory-review-period-for-purposes-of-patent-extension-integraregister,https://www.govinfo.gov/content/pkg/FR-1997-08-21/pdf/97-22266.pdf,1997-08-21, INTEGRARegister Artificial Skin,,,INTEGRA<Register> Artificial Skin,4947840,the Massachusetts Institute of Technology,4477.0,3173.0,1304.0,"November 30, 1983","November 30, 1983","March 1, 1996",PMA P900033,923
Determination of Regulatory Review Period for Purposes of Patent Extension; PRELAYSUPTM/SUP and REZULINSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for PRELAY<SUP>TM</SUP> and REZULIN<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",62 FR 46501,97-23244,https://www.federalregister.gov/documents/1997/09/03/97-23244/determination-of-regulatory-review-period-for-purposes-of-patent-extension-prelaysuptmsup-and,https://www.govinfo.gov/content/pkg/FR-1997-09-03/pdf/97-23244.pdf,1997-09-03, PRELAYSUPTM/SUP and REZULINSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; LEVAQUINSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for LEVAQUIN<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 18204,98-9703,https://www.federalregister.gov/documents/1998/04/14/98-9703/determination-of-regulatory-review-period-for-purposes-of-patent-extension-levaquinsuptmsup,https://www.govinfo.gov/content/pkg/FR-1998-04-14/pdf/98-9703.pdf,1998-04-14, LEVAQUINSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZAGAMRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ZAGAM<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 18431,98-9864,https://www.federalregister.gov/documents/1998/04/15/98-9864/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zagamregister,https://www.govinfo.gov/content/pkg/FR-1998-04-15/pdf/98-9864.pdf,1998-04-15, ZAGAMRegister,,,ZAGAM<Register>,4795751,"Dainippon Pharmaceutical Co., Ltd.",2030.0,1671.0,359.0,"June 1, 1991","June 1, 1991","December 19, 1996",NDA 20-677,1194
Determination of Regulatory Review Period for Purposes of Patent Extension; LIPOSORBERRegister LA-15 System,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for LIPOSORBER<Register> LA-15 System and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",63 FR 24557,98-11682,https://www.federalregister.gov/documents/1998/05/04/98-11682/determination-of-regulatory-review-period-for-purposes-of-patent-extension-liposorberregister-la-15,https://www.govinfo.gov/content/pkg/FR-1998-05-04/pdf/98-11682.pdf,1998-05-04, LIPOSORBERRegister LA-15 System,,,LIPOSORBER<Register> LA-15 System,4637994,Kanegafuchi Kagaku Kogyo Kabushiki Kaisha,3598.0,1995.0,1603.0,"April 18, 1986","April 18, 1996","February 21, 1996",PMA 880019,1825
Determination of Regulatory Review Period for Purposes of Patent Extension; IVOMECRegister EPRINEXSUPTM/SUP Pour-On for Beef and Dairy Cattle,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for IVOMEC<Register> EPRINEX<SUP>TM</SUP> Pour-On for Beef and Dairy Cattle and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",63 FR 36922,98-18141,https://www.federalregister.gov/documents/1998/07/08/98-18141/determination-of-regulatory-review-period-for-purposes-of-patent-extension-ivomecregister,https://www.govinfo.gov/content/pkg/FR-1998-07-08/pdf/98-18141.pdf,1998-07-08, IVOMECRegister EPRINEXSUPTM/SUP Pour-On for Beef and Dairy Cattle,,,Beef and Dairy Cattle,4427663,"Merck & Co., Inc.",2492.0,2475.0,17.0,"June 22, 1990","June 22, 1990","April 16, 1997",NADA 141-079,1255
Determination of Regulatory Review Period for Purposes of Patent Extension; STROMECTOLRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for STROMECTOL<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 37398,98-18400,https://www.federalregister.gov/documents/1998/07/10/98-18400/determination-of-regulatory-review-period-for-purposes-of-patent-extension-stromectolregister,https://www.govinfo.gov/content/pkg/FR-1998-07-10/pdf/98-18400.pdf,1998-07-10, STROMECTOLRegister,,,STROMECTOL<Register>,4199569,"Merck & Co., Inc.",2291.0,2055.0,236.0,"August 17, 1990","August 17, 1990","November 22, 1996",NDA 50-742,1026
Determination of Regulatory Review Period for Purposes of Patent Extension; VERLUMASUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for VERLUMA<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",63 FR 37397,98-18408,https://www.federalregister.gov/documents/1998/07/10/98-18408/determination-of-regulatory-review-period-for-purposes-of-patent-extension-verlumasuptmsup,https://www.govinfo.gov/content/pkg/FR-1998-07-10/pdf/98-18408.pdf,1998-07-10, VERLUMASUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; FlowmaxSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Flowmax<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 37399,98-18407,https://www.federalregister.gov/documents/1998/07/10/98-18407/determination-of-regulatory-review-period-for-purposes-of-patent-extension-flowmaxsuptmsup,https://www.govinfo.gov/content/pkg/FR-1998-07-10/pdf/98-18407.pdf,1998-07-10, FlowmaxSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; PANDEL Cream,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for PANDEL Cream and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 38410,98-18878,https://www.federalregister.gov/documents/1998/07/16/98-18878/determination-of-regulatory-review-period-for-purposes-of-patent-extension-pandel-cream,https://www.govinfo.gov/content/pkg/FR-1998-07-16/pdf/98-18878.pdf,1998-07-16, PANDEL Cream,,,PANDEL Cream,4290962,Taisho Pharmaceutical Co. Ltd.,4165.0,3078.0,1087.0,"October 6, 1985","October 6, 1985","February 28, 1997",NDA 20-453,1096
Determination of Regulatory Review Period for Purposes of Patent Extension; QUADRAMETRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for QUADRAMET<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 38656,98-19027,https://www.federalregister.gov/documents/1998/07/17/98-19027/determination-of-regulatory-review-period-for-purposes-of-patent-extension-quadrametregister,https://www.govinfo.gov/content/pkg/FR-1998-07-17/pdf/98-19027.pdf,1998-07-17, QUADRAMETRegister,,,QUADRAMET<Register>,4898724,The Dow Chemical Co.,2844.0,2189.0,655.0,"June 16, 1989","May 16, 1989","March 28, 1997",IND 33,1412
Determination of Regulatory Review Period for Purposes of Patent Extension; FlowmaxSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Flowmax<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 39097,98-19379,https://www.federalregister.gov/documents/1998/07/21/98-19379/determination-of-regulatory-review-period-for-purposes-of-patent-extension-flowmaxsuptmsup,https://www.govinfo.gov/content/pkg/FR-1998-07-21/pdf/98-19379.pdf,1998-07-21, FlowmaxSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; GEMZARRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for GEMZAR<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 41263,98-20593,https://www.federalregister.gov/documents/1998/08/03/98-20593/determination-of-regulatory-review-period-for-purposes-of-patent-extension-gemzarregister,https://www.govinfo.gov/content/pkg/FR-1998-08-03/pdf/98-20593.pdf,1998-08-03, GEMZARRegister,,,GEMZAR<Register>,4808614,Eli Lilly & Co.,3293.0,2824.0,469.0,"May 12, 1987","May 12, 1987","May 15, 1996",NDA 20-509,1537
Determination of Regulatory Review Period for Purposes of Patent Extension; PosicorRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Posicor<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 41582,98-20743,https://www.federalregister.gov/documents/1998/08/04/98-20743/determination-of-regulatory-review-period-for-purposes-of-patent-extension-posicorregister,https://www.govinfo.gov/content/pkg/FR-1998-08-04/pdf/98-20743.pdf,1998-08-04, PosicorRegister,,,Posicor<Register>,4808605,"Hoffman-La Roche, Inc.",1793.0,1326.0,467.0,"July 25, 1992","July 25, 1992","June 20, 1997",NDA 20-689,1130
Determination of Regulatory Review Period for Purposes of Patent Extension; AniprylRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Anipryl<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",63 FR 41578,98-20708,https://www.federalregister.gov/documents/1998/08/04/98-20708/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aniprylregister,https://www.govinfo.gov/content/pkg/FR-1998-08-04/pdf/98-20708.pdf,1998-08-04, AniprylRegister,,,Anipryl<Register>,5192808,"Deprenyl Animal Health, Inc.",2329.0,2275.0,54.0,"January 15, 1991","May 30, 1997","May 30, 1997",NADA 141-080,448
Determination of Regulatory Review Period for Purposes of Patent Extension; DostinexRegister Tablets,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Dostinex<Register> Tablets and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 41581,98-20739,https://www.federalregister.gov/documents/1998/08/04/98-20739/determination-of-regulatory-review-period-for-purposes-of-patent-extension-dostinexregister-tablets,https://www.govinfo.gov/content/pkg/FR-1998-08-04/pdf/98-20739.pdf,1998-08-04, DostinexRegister Tablets,,,Dostinex<Register> Tablets,4526892,Upjohn & Pharmacia,2188.0,1825.0,363.0,"December 29, 1990","December 29, 1990","December 23, 1996",NDA 20-664,1273
Determination of Regulatory Review Period for Purposes of Patent Extension; BeneFIXSUPTM/SUP,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for BeneFIX<SUP>TM</SUP> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human biological product.",63 FR 41579,98-20742,https://www.federalregister.gov/documents/1998/08/04/98-20742/determination-of-regulatory-review-period-for-purposes-of-patent-extension-benefixsuptmsup,https://www.govinfo.gov/content/pkg/FR-1998-08-04/pdf/98-20742.pdf,1998-08-04, BeneFIXSUPTM/SUP,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; AQUEOUS ARYL FLUOROPHOSPHITE SUSPENSION,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for AQUEOUS ARYL FLUOROPHOSPHITE SUSPENSION and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that food additive.",63 FR 41580,98-20707,https://www.federalregister.gov/documents/1998/08/04/98-20707/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aqueous-aryl,https://www.govinfo.gov/content/pkg/FR-1998-08-04/pdf/98-20707.pdf,1998-08-04, AQUEOUS ARYL FLUOROPHOSPHITE SUSPENSION,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ETOPOPHOSRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for ETOPOPHOS<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 41859,98-20826,https://www.federalregister.gov/documents/1998/08/05/98-20826/determination-of-regulatory-review-period-for-purposes-of-patent-extension-etopophosregister,https://www.govinfo.gov/content/pkg/FR-1998-08-05/pdf/98-20826.pdf,1998-08-05, ETOPOPHOSRegister,,,ETOPOPHOS<Register>,4904768,Bristol-Myers Squibb Co.,1719.0,1029.0,690.0,"September 4, 1991","September 4, 1991","May 17, 1996",NDA 20-457,1017
Determination of Regulatory Review Period for Purposes of Patent Extension; MirapexRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Mirapex<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 42407,98-21090,https://www.federalregister.gov/documents/1998/08/07/98-21090/determination-of-regulatory-review-period-for-purposes-of-patent-extension-mirapexregister,https://www.govinfo.gov/content/pkg/FR-1998-08-07/pdf/98-21090.pdf,1998-08-07, MirapexRegister,,,Mirapex<Register>,4886812,Boehringer Ingelheim International GmbH,2576.0,2024.0,552.0,"June 14, 1990","June 14, 1990","July 1, 1997",NDA 20-667,1440
Determination of Regulatory Review Period for Purposes of Patent Extension; Aqueous Aryl Fluorophosphite Suspension,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Aqueous Aryl Fluorophosphite Suspension and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that food additive.",63 FR 42405,98-21130,https://www.federalregister.gov/documents/1998/08/07/98-21130/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aqueous-aryl,https://www.govinfo.gov/content/pkg/FR-1998-08-07/pdf/98-21130.pdf,1998-08-07, Aqueous Aryl Fluorophosphite Suspension,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Cook GRIISUPTM/SUP Coronary Stent,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Cook GRII<SUP>TM</SUP> Coronary Stent and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",63 FR 42408,98-21089,https://www.federalregister.gov/documents/1998/08/07/98-21089/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cook-griisuptmsup,https://www.govinfo.gov/content/pkg/FR-1998-08-07/pdf/98-21089.pdf,1998-08-07, Cook GRIISUPTM/SUP Coronary Stent,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; FarestonRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Fareston<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product. ADDRESSES: Written comments and petitions should be directed to the Dockets Management Branch (HFA-305), Food and Drug Administration, 5630 Fishers Lane, rm. 1061, Rockville, MD 20852.",63 FR 42857,98-21407,https://www.federalregister.gov/documents/1998/08/11/98-21407/determination-of-regulatory-review-period-for-purposes-of-patent-extension-farestonregister,https://www.govinfo.gov/content/pkg/FR-1998-08-11/pdf/98-21407.pdf,1998-08-11, FarestonRegister,,,Fareston<Register>,4696949,ORION-YHTYMA OY,3706.0,2828.0,878.0,"April 8, 1987","April 8, 1987","May 29, 1997",NDA 20-497,1827
Determination of Regulatory Review Period for Purposes of Patent Extension; Silvacote K,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Silvacote K and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that food additive.",63 FR 51939,98-25908,https://www.federalregister.gov/documents/1998/09/29/98-25908/determination-of-regulatory-review-period-for-purposes-of-patent-extension-silvacote-k,https://www.govinfo.gov/content/pkg/FR-1998-09-29/pdf/98-25908.pdf,1998-09-29, Silvacote K,,,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; SkelidRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Skelid<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 54481,98-27078,https://www.federalregister.gov/documents/1998/10/09/98-27078/determination-of-regulatory-review-period-for-purposes-of-patent-extension-skelidregister,https://www.govinfo.gov/content/pkg/FR-1998-10-09/pdf/98-27078.pdf,1998-10-09, SkelidRegister,,,Skelid<Register>,4876248,"Sanofi Pharmaceuticals, Inc.",2013.0,1639,374.0,"September 4, 1991","September 4, 1991","March 7, 1997",NDA 20-707,1192
Determination of Regulatory Review Period for Purposes of Patent Extension; Rimadyl,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Rimadyl and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",63 FR 54716,98-27285,https://www.federalregister.gov/documents/1998/10/13/98-27285/determination-of-regulatory-review-period-for-purposes-of-patent-extension-rimadyl,https://www.govinfo.gov/content/pkg/FR-1998-10-13/pdf/98-27285.pdf,1998-10-13, Rimadyl,,,Rimadyl,4264500,Pfizer Inc.,6572.0,5910,662.0,"October 30, 1978","October 25, 1996","October 25, 1996",NADA 141-053,1095
Determination of Regulatory Review Period for Purposes of Patent Extension; NormifloRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Normiflo<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",63 FR 54717,98-27286,https://www.federalregister.gov/documents/1998/10/13/98-27286/determination-of-regulatory-review-period-for-purposes-of-patent-extension-normifloregister,https://www.govinfo.gov/content/pkg/FR-1998-10-13/pdf/98-27286.pdf,1998-10-13, NormifloRegister,,,Normiflo<Register>,4757057,Pharmacia & Upjohn Aktiebolag,3503.0,1883,1620.0,"October 22, 1987","October 22, 1987","May 23, 1997",NDA 20-227,1820
